,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
323,601398.SH,20221108,3.8282,3.8376,3.8188,3.8376,4.08,-0.24239999999999995,-5.9412,1266710.07,517079.54
324,601398.SH,20221107,3.8376,3.8376,3.8094,3.8282,4.09,-0.26180000000000003,-6.401,2420763.34,986337.817
325,601398.SH,20221104,3.8,3.8657,3.8,3.8376,4.06,-0.2223999999999995,-5.4778,3380993.45,1382391.65
326,601398.SH,20221103,3.8,3.8094,3.7907,3.8094,4.07,-0.26060000000000016,-6.4029,1564672.37,634051.041
327,601398.SH,20221102,3.8,3.8188,3.7625,3.8188,4.08,-0.2612000000000001,-6.402,3450626.79,1394694.899
328,601398.SH,20221101,3.8939,3.9033,3.7625,3.8282,4.15,-0.32180000000000053,-7.7542,6428447.8,2617808.617
329,601398.SH,20221031,3.9877,3.9971,3.8845,3.8939,4.25,-0.3561000000000001,-8.3788,3136808.62,1315941.98
330,601398.SH,20221028,3.9971,4.0065,3.9783,3.9877,4.25,-0.2623000000000002,-6.1718,2322386.17,989014.765
331,601398.SH,20221027,4.0158,4.0252,3.9783,3.9877,4.28,-0.29230000000000045,-6.8294,2614569.57,1114168.572
332,601398.SH,20221026,4.0721,4.0815,4.0158,4.0158,4.34,-0.32420000000000027,-7.47,4305151.47,1859606.05
333,601398.SH,20221025,4.0815,4.0909,4.0721,4.0721,4.36,-0.2879000000000005,-6.6032,2059834.43,895581.873
334,601398.SH,20221024,4.0815,4.0909,4.0628,4.0909,4.35,-0.2590999999999992,-5.9563,3982764.2,1731708.676
335,601398.SH,20221021,4.0815,4.0909,4.0721,4.0815,4.35,-0.2684999999999995,-6.1724,1846239.59,802815.21
